setting,dataset,num_samples,num_components,random_seed,skellam_mu,sigma,b,clipping_norm,q_f,q_clean,q_a
centralized,iris,150,500,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
centralized,iris,150,1000,0,7,25.077,6,1.0,0.9338856190443038,0.9338856190443038,0.9480404921992546
fl,iris,150,10,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,25,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,50,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,100,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,125,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,250,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,500,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
fl,iris,150,1000,0,0.671,10000,6.0,1.0,0.9338856190443034,0.9338856190443038,0.9998599181727814
centralized,ca_income,195665,25,0,7,13.285,6,1.0,0.18506811460234618,0.20037047667357455,0.9930135228920396
centralized,ca_income,195665,50,0,7,13.285,6,1.0,0.27682223864402733,0.3165350864583766,0.9930135228920396
local,iris,150,10,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,25,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,50,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,100,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,125,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,250,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,500,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
local,iris,150,1000,0,7,13.285,6,1.0,0.933885619044304,0.9338856190443038,0.8341836375645719
fl,iris,150,10,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,25,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,50,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,100,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,125,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,250,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,500,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
fl,iris,150,1000,0,0.2036,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998605797212603
centralized,ca_income,195665,100,0,7,13.285,6,1.0,0.3997148582195594,0.48630057394686166,0.9930135228920396
fl,ca_income,195665,10,0,29.4,10000,6.0,1.0,0.10308804798552217,0.10306451053062196,0.9997158701848425
centralized,ca_income,195665,125,0,7,13.285,6,1.0,0.4457593449263399,0.5541624613800046,0.9930135228920396
fl,ca_income,195665,25,0,29.4,10000,6.0,1.0,0.20039311476526592,0.20037047667357455,0.9997158701848425
centralized,iris,150,10,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,25,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,50,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,100,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,125,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,250,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,500,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
centralized,iris,150,1000,0,7,13.285,6,1.0,0.9338856190443041,0.9338856190443038,0.9701145242895179
fl,iris,150,10,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,25,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,50,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,100,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,125,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,250,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,500,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,iris,150,1000,0,0.067,10000,6.0,1.0,0.9338856190443033,0.9338856190443038,0.9998608652202452
fl,ca_income,195665,50,0,29.4,10000,6.0,1.0,0.3165479087988686,0.3165350864583766,0.9997158701848425
centralized,ca_income,195665,250,0,7,13.285,6,1.0,0.6098305637999603,0.7723074729978476,0.9930135228920396
local,iris,150,10,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,25,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,50,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,100,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,125,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,250,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,500,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
local,iris,150,1000,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.8367966622990785
fl,ca_income,195665,100,0,29.4,10000,6.0,1.0,0.4862997198100026,0.48630057394686166,0.9997158701848425
centralized,ca_income,195665,500,0,7,13.285,6,1.0,0.8196324802336776,0.9512922096686961,0.9930135228920396
fl,iris,150,10,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,25,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,50,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,100,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,125,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,250,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,500,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,iris,150,1000,0,382.3,10000,10.0,1.0,0.9338856190443047,0.9338856190443038,0.9998448538075575
fl,ca_income,195665,125,0,29.4,10000,6.0,1.0,0.5541548436555133,0.5541624613800046,0.9997158701848425
centralized,iris,150,10,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,25,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,50,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,100,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,125,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,250,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,500,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,iris,150,1000,0,7,7.032,6,1.0,0.9338856190443032,0.9338856190443038,0.9868385451415098
centralized,ca_income,195665,1000,0,7,13.285,6,1.0,1.0000000401021842,1.0000000401021845,0.9930135228920396
fl,ca_income,195665,250,0,29.4,10000,6.0,1.0,0.7722655941062145,0.7723074729978476,0.9997158701848425
fl,iris,150,10,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,25,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,50,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,100,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,125,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,250,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,500,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,iris,150,1000,0,106.1,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998445140781453
fl,ca_income,195665,500,0,29.4,10000,6.0,1.0,0.9511854358455991,0.9512922096686961,0.9997158701848425
local,iris,150,10,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,25,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,50,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,100,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,125,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,250,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,500,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
local,iris,150,1000,0,7,3.731,6,1.0,0.9338856190443036,0.9338856190443038,0.8568754147174874
fl,ca_income,195665,1000,0,29.4,10000,6.0,1.0,1.000000040102184,1.0000000401021845,0.9997158701848425
fl,iris,150,10,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,25,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,50,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,100,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,125,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,250,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,500,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
fl,iris,150,1000,0,29.4,10000,10.0,1.0,0.9338856190443032,0.9338856190443038,0.99984432620899
local,ca_income,195665,10,0,7,7.032,6,1.0,0.012643591495448848,0.10306451053062196,0.013263611640067823
centralized,iris,150,10,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,25,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,50,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,100,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,125,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,250,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,500,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
centralized,iris,150,1000,0,7,3.731,6,1.0,0.9338856190443039,0.9338856190443038,0.9955743313252627
local,ca_income,195665,25,0,7,7.032,6,1.0,0.030607468930814296,0.20037047667357455,0.013263611640067823
fl,iris,150,10,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,25,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,50,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,100,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,125,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,250,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,500,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
fl,iris,150,1000,0,8.19,10000,10.0,1.0,0.9338856190443043,0.9338856190443038,0.9998442252162529
local,ca_income,195665,50,0,7,7.032,6,1.0,0.06089466141345562,0.3165350864583766,0.013263611640067823
fl,ca_income,195665,10,0,8.19,10000,6.0,1.0,0.10308835765984041,0.10306451053062196,0.9997172612544769
local,iris,150,10,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,25,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,50,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,100,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,125,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,250,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,500,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,iris,150,1000,0,7,1.994,6,1.0,0.9338856190443043,0.9338856190443038,0.9321853354481691
local,ca_income,195665,100,0,7,7.032,6,1.0,0.12193922180960008,0.48630057394686166,0.013263611640067823
fl,ca_income,195665,25,0,8.19,10000,6.0,1.0,0.20039416157210763,0.20037047667357455,0.9997172612544769
fl,iris,150,10,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,25,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,50,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,100,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,125,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,250,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,500,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
fl,iris,150,1000,0,2.32,10000,10.0,1.0,0.9338856190443036,0.9338856190443038,0.9998441719709694
local,ca_income,195665,125,0,7,7.032,6,1.0,0.15241078531466395,0.5541624613800046,0.013263611640067823
fl,ca_income,195665,50,0,8.19,10000,6.0,1.0,0.3165507580641746,0.3165350864583766,0.9997172612544769
centralized,iris,150,10,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,25,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,50,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,100,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,125,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,250,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,500,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
centralized,iris,150,1000,0,7,1.994,6,1.0,0.9338856190443039,0.9338856190443038,0.9988669681031245
local,ca_income,195665,250,0,7,7.032,6,1.0,0.3074421993771872,0.7723074729978476,0.013263611640067823
fl,ca_income,195665,100,0,8.19,10000,6.0,1.0,0.48630714364944433,0.48630057394686166,0.9997172612544769
fl,iris,150,10,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,25,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,50,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,100,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,125,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,250,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,500,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
fl,iris,150,1000,0,0.671,10000,10.0,1.0,0.933885619044304,0.9338856190443038,0.9998441433883873
